"Item.ID","Data_value","Units","Item","Year","Month_num","Month"
"CPIM.SAP0101",2.79,"Dollars","Bananas, 1kg",2014,10,"October"
"CPIM.SAP0101",2.79,"Dollars","Bananas, 1kg",2014,11,"November"
"CPIM.SAP0101",2.83,"Dollars","Bananas, 1kg",2014,12,"December"
"CPIM.SAP0101",2.89,"Dollars","Bananas, 1kg",2015,1,"January"
"CPIM.SAP0101",2.97,"Dollars","Bananas, 1kg",2015,2,"February"
"CPIM.SAP0101",3.05,"Dollars","Bananas, 1kg",2015,3,"March"
"CPIM.SAP0101",2.95,"Dollars","Bananas, 1kg",2015,4,"April"
"CPIM.SAP0101",2.61,"Dollars","Bananas, 1kg",2015,5,"May"
"CPIM.SAP0101",2.72,"Dollars","Bananas, 1kg",2015,6,"June"
"CPIM.SAP0101",2.77,"Dollars","Bananas, 1kg",2015,7,"July"
"CPIM.SAP0101",3.02,"Dollars","Bananas, 1kg",2015,8,"August"
"CPIM.SAP0101",3.05,"Dollars","Bananas, 1kg",2015,9,"September"
"CPIM.SAP0101",2.92,"Dollars","Bananas, 1kg",2015,10,"October"
"CPIM.SAP0101",2.93,"Dollars","Bananas, 1kg",2015,11,"November"
"CPIM.SAP0101",3.12,"Dollars","Bananas, 1kg",2015,12,"December"
"CPIM.SAP0101",3.11,"Dollars","Bananas, 1kg",2016,1,"January"
"CPIM.SAP0101",3.16,"Dollars","Bananas, 1kg",2016,2,"February"
"CPIM.SAP0101",3.23,"Dollars","Bananas, 1kg",2016,3,"March"
"CPIM.SAP0101",3.05,"Dollars","Bananas, 1kg",2016,4,"April"
"CPIM.SAP0101",3.05,"Dollars","Bananas, 1kg",2016,5,"May"
"CPIM.SAP0101",2.92,"Dollars","Bananas, 1kg",2016,6,"June"
"CPIM.SAP0101",2.87,"Dollars","Bananas, 1kg",2016,7,"July"
"CPIM.SAP0101",3.51,"Dollars","Bananas, 1kg",2016,8,"August"
"CPIM.SAP0101",3.05,"Dollars","Bananas, 1kg",2016,9,"September"
"CPIM.SAP0101",2.93,"Dollars","Bananas, 1kg",2016,10,"October"
"CPIM.SAP0101",2.82,"Dollars","Bananas, 1kg",2016,11,"November"
"CPIM.SAP0101",2.88,"Dollars","Bananas, 1kg",2016,12,"December"
"CPIM.SAP0101",2.84,"Dollars","Bananas, 1kg",2017,1,"January"
"CPIM.SAP0101",3.04,"Dollars","Bananas, 1kg",2017,2,"February"
"CPIM.SAP0101",3.22,"Dollars","Bananas, 1kg",2017,3,"March"
"CPIM.SAP0101",2.92,"Dollars","Bananas, 1kg",2017,4,"April"
"CPIM.SAP0101",2.77,"Dollars","Bananas, 1kg",2017,5,"May"
"CPIM.SAP0101",2.59,"Dollars","Bananas, 1kg",2017,6,"June"
"CPIM.SAP0101",2.73,"Dollars","Bananas, 1kg",2017,7,"July"
"CPIM.SAP0101",2.93,"Dollars","Bananas, 1kg",2017,8,"August"
"CPIM.SAP0101",2.83,"Dollars","Bananas, 1kg",2017,9,"September"
"CPIM.SAP0101",2.66,"Dollars","Bananas, 1kg",2017,10,"October"
"CPIM.SAP0101",2.82,"Dollars","Bananas, 1kg",2017,11,"November"
"CPIM.SAP0101",2.71,"Dollars","Bananas, 1kg",2017,12,"December"
"CPIM.SAP0101",2.89,"Dollars","Bananas, 1kg",2018,1,"January"
"CPIM.SAP0101",2.88,"Dollars","Bananas, 1kg",2018,2,"February"
"CPIM.SAP0101",2.87,"Dollars","Bananas, 1kg",2018,3,"March"
"CPIM.SAP0101",2.82,"Dollars","Bananas, 1kg",2018,4,"April"
"CPIM.SAP0101",2.69,"Dollars","Bananas, 1kg",2018,5,"May"
"CPIM.SAP0101",2.48,"Dollars","Bananas, 1kg",2018,6,"June"
"CPIM.SAP0101",2.51,"Dollars","Bananas, 1kg",2018,7,"July"
"CPIM.SAP0101",2.72,"Dollars","Bananas, 1kg",2018,8,"August"
"CPIM.SAP0101",2.73,"Dollars","Bananas, 1kg",2018,9,"September"
"CPIM.SAP0101",2.85,"Dollars","Bananas, 1kg",2018,10,"October"
"CPIM.SAP0101",3.34,"Dollars","Bananas, 1kg",2018,11,"November"
"CPIM.SAP0101",3.23,"Dollars","Bananas, 1kg",2018,12,"December"
"CPIM.SAP0101",2.98,"Dollars","Bananas, 1kg",2019,1,"January"
"CPIM.SAP0101",3.06,"Dollars","Bananas, 1kg",2019,2,"February"
"CPIM.SAP0101",2.98,"Dollars","Bananas, 1kg",2019,3,"March"
"CPIM.SAP0101",2.89,"Dollars","Bananas, 1kg",2019,4,"April"
"CPIM.SAP0101",2.8,"Dollars","Bananas, 1kg",2019,5,"May"
"CPIM.SAP0101",2.8,"Dollars","Bananas, 1kg",2019,6,"June"
"CPIM.SAP0101",2.74,"Dollars","Bananas, 1kg",2019,7,"July"
"CPIM.SAP0102",1.89,"Dollars","Apples, 1kg",2006,6,"June"
"CPIM.SAP0102",2.01,"Dollars","Apples, 1kg",2006,7,"July"
"CPIM.SAP0102",2.15,"Dollars","Apples, 1kg",2006,8,"August"
"CPIM.SAP0102",2.26,"Dollars","Apples, 1kg",2006,9,"September"
"CPIM.SAP0102",2.63,"Dollars","Apples, 1kg",2006,10,"October"
"CPIM.SAP0102",2.79,"Dollars","Apples, 1kg",2006,11,"November"
"CPIM.SAP0102",3.29,"Dollars","Apples, 1kg",2006,12,"December"
"CPIM.SAP0102",3.89,"Dollars","Apples, 1kg",2007,1,"January"
"CPIM.SAP0102",2.85,"Dollars","Apples, 1kg",2007,2,"February"
